id,Schistosoma_population,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,sex,cross_parent
SmBRE_1,SmBRE,233.333333333333,633.333333333333,166.666666666667,166.666666666667,1200,300,m,NA
SmBRE_2,SmBRE,300,1100,433.333333333333,133.333333333333,1966.66666666667,491.666666666667,f,B
SmBRE_3,SmBRE,700,333.333333333333,66.6666666666667,466.666666666667,1566.66666666667,391.666666666667,f,NA
SmBRE_4,SmBRE,966.666666666667,666.666666666667,266.666666666667,66.6666666666667,1966.66666666667,491.666666666667,m,A
SmBRE_5,SmBRE,500,400,133.333333333333,NA,1033.33333333333,344.444444444444,f,NA
SmBRE_6,SmBRE,66.6666666666667,266.666666666667,166.666666666667,333.333333333333,833.333333333334,208.333333333333,f,NA
SmBRE_7,SmBRE,166.666666666667,633.333333333333,433.333333333333,300,1533.33333333333,383.333333333333,f,NA
SmBRE_8,SmBRE,33.3333333333333,100,333.333333333333,NA,466.666666666666,155.555555555555,f,NA
SmBRE_9,SmBRE,200,500,500,166.666666666667,1366.66666666667,341.666666666667,m,NA
SmBRE_10,SmBRE,166.666666666667,166.666666666667,300,333.333333333333,966.666666666667,241.666666666667,f,NA
SmBRE_11,SmBRE,300,233.333333333333,100,233.333333333333,866.666666666666,216.666666666667,m,NA
SmBRE_12,SmBRE,433.333333333333,300,233.333333333333,466.666666666667,1433.33333333333,358.333333333333,f,NA
SmBRE_13,SmBRE,166.666666666667,366.666666666667,33.3333333333333,NA,566.666666666667,188.888888888889,m,NA
SmBRE_14,SmBRE,166.666666666667,433.333333333333,333.333333333333,533.333333333333,1466.66666666667,366.666666666667,f,NA
SmBRE_15,SmBRE,66.6666666666667,133.333333333333,333.333333333333,166.666666666667,700,175,m,NA
SmBRE_16,SmBRE,600,633.333333333333,166.666666666667,100,1500,375,f,NA
SmBRE_17,SmBRE,166.666666666667,266.666666666667,200,66.6666666666667,700.000000000001,175,m,NA
SmBRE_18,SmBRE,400,866.666666666667,366.666666666667,233.333333333333,1866.66666666667,466.666666666667,f,NA
SmBRE_19,SmBRE,66.6666666666667,1233.33333333333,666.666666666667,133.333333333333,2100,524.999999999999,f,NA
SmBRE_20,SmBRE,33.3333333333333,133.333333333333,NA,NA,166.666666666666,83.3333333333331,m,NA
SmBRE_21,SmBRE,66.6666666666667,900,333.333333333333,200,1500,375,f,NA
SmBRE_22,SmBRE,200,166.666666666667,166.666666666667,33.3333333333333,566.666666666667,141.666666666667,m,NA
SmBRE_23,SmBRE,33.3333333333333,433.333333333333,100,100,666.666666666666,166.666666666667,f,NA
SmBRE_24,SmBRE,100,33.3333333333333,100,66.6666666666667,300,75,m,NA
SmBRE_25,SmBRE,700,266.666666666667,100,NA,1066.66666666667,355.555555555556,m,NA
SmBRE_26,SmBRE,100,133.333333333333,NA,NA,233.333333333333,116.666666666667,m,NA
SmBRE_27,SmBRE,300,333.333333333333,766.666666666667,100,1500,375,m,NA
SmBRE_28,SmBRE,100,266.666666666667,266.666666666667,33.3333333333333,666.666666666667,166.666666666667,m,NA
SmBRE_29,SmBRE,33.3333333333333,600,500,200,1333.33333333333,333.333333333333,m,NA
SmBRE_30,SmBRE,66.6666666666667,366.666666666667,300,NA,733.333333333334,244.444444444445,f,NA
SmBRE_31,SmBRE,33.3333333333333,100,133.333333333333,33.3333333333333,300,74.9999999999999,NA,NA
