id,cross,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,PO,Hb,sex,parent_cross
F1A_1,F1A,2933.33333333333,400,NA,NA,3333.33333333333,1666.66666666667,NA,NA,m,NA
F1A_2,F1A,1633.33333333333,1800,NA,NA,3433.33333333333,1716.66666666667,NA,NA,m,NA
F1A_3,F1A,1633.33333333333,433.333333333333,NA,NA,2066.66666666666,1033.33333333333,NA,NA,m,NA
F1A_4,F1A,2566.66666666667,1233.33333333333,70,NA,3870,1290,NA,NA,m,NA
F1A_5,F1A,2533.33333333333,2200,1733.33333333333,766.666666666667,7233.33333333333,1808.33333333333,2.0035,0.6928,m,NA
F1A_6,F1A,3300,3800,1166.66666666667,NA,8266.66666666667,2755.55555555556,NA,NA,f,NA
F1A_7,F1A,2866.66666666667,3266.66666666667,1466.66666666667,600,8200.00000000001,2050,NA,NA,f,A
F1A_8,F1A,2566.66666666667,2433.33333333333,NA,NA,5000,2500,NA,NA,m,NA
F1A_9,F1A,4000,1366.66666666667,866.666666666667,100,6333.33333333334,1583.33333333333,NA,NA,m,NA
F1A_10,F1A,3000,3233.33333333333,700,NA,6933.33333333333,2311.11111111111,NA,NA,f,NA
F1A_11,F1A,2433.33333333333,1466.66666666667,333.333333333333,NA,4233.33333333333,1411.11111111111,NA,NA,f,NA
F1A_12,F1A,3300,1666.66666666667,400,NA,5366.66666666667,1788.88888888889,NA,NA,m,NA
F1A_13,F1A,2333.33333333333,1466.66666666667,566.666666666667,666.666666666667,5033.33333333333,1258.33333333333,2.4248,1.0288,m,NA
F1A_14,F1A,966.666666666667,2966.66666666667,700,666.666666666667,5300,1325,2.2697,1.0452,m,NA
F1A_15,F1A,1000,1166.66666666667,800,766.666666666667,3733.33333333334,933.333333333334,2.626,1.5423,f,NA
F1A_16,F1A,3833.33333333333,633.333333333333,500,233.333333333333,5200,1300,2.0345,0.6968,m,NA
F1A_17,F1A,1266.66666666667,1966.66666666667,766.666666666667,1833.33333333333,5833.33333333334,1458.33333333333,2.4448,1.08,m,NA
F1A_18,F1A,2300,1333.33333333333,366.666666666667,433.333333333333,4433.33333333333,1108.33333333333,2.1349,0.475,m,NA
F1A_19,F1A,2800,800,1033.33333333333,500,5133.33333333333,1283.33333333333,2.2153,0.8354,m,NA
F1A_20,F1A,3000,1333.33333333333,1233.33333333333,600,6166.66666666666,1541.66666666667,1.9345,0.4163,m,NA
F1A_21,F1A,3466.66666666667,1900,833.333333333333,600,6800,1700,NA,NA,m,NA
F1A_22,F1A,2166.66666666667,700,666.666666666667,866.666666666667,4400,1100,2.2476,1.1449,m,NA
F1A_23,F1A,2933.33333333333,2000,1200,1166.66666666667,7300,1825,2.0576,0.5686,f,NA
F1A_24,F1A,1466.66666666667,1100,766.666666666667,433.333333333333,3766.66666666667,941.666666666668,2.0443,0.5337,m,NA
F1A_25,F1A,2200,1633.33333333333,700,1633.33333333333,6166.66666666666,1541.66666666667,NA,NA,m,NA
F1A_26,F1A,766.666666666667,1466.66666666667,1433.33333333333,600,4266.66666666667,1066.66666666667,NA,NA,f,NA
F1A_27,F1A,3133.33333333333,2033.33333333333,1100,633.333333333333,6899.99999999999,1725,NA,NA,f,NA
F1A_28,F1A,566.666666666667,1866.66666666667,1000,533.333333333333,3966.66666666667,991.666666666668,1.8012,0.3811,NA,NA
F1A_29,F1A,3266.66666666667,1533.33333333333,866.666666666667,1133.33333333333,6800,1700,1.8528,0.2984,m,NA
F1A_30,F1A,3033.33333333333,1966.66666666667,700,333.333333333333,6033.33333333333,1508.33333333333,2.0523,0.279,m,NA
F1A_31,F1A,1400,2366.66666666667,1233.33333333333,966.666666666667,5966.66666666667,1491.66666666667,2.8301,0.7343,f,NA
F1A_32,F1A,4500,2100,2100,900,9600,2400,1.7215,0.4598,f,NA
F1A_33,F1A,3133.33333333333,1933.33333333333,966.666666666667,966.666666666667,7000,1750,2.2087,0.8427,m,NA
F1A_34,F1A,3433.33333333333,2266.66666666667,966.666666666667,1200,7866.66666666667,1966.66666666667,2.4544,1.0037,f,NA
F1A_35,F1A,4566.66666666667,2033.33333333333,1633.33333333333,1133.33333333333,9366.66666666666,2341.66666666666,2.2934,1.173,m,NA
F1A_36,F1A,4466.66666666667,2000,1266.66666666667,1033.33333333333,8766.66666666667,2191.66666666667,2.4638,1.0895,f,NA
F1A_37,F1A,3033.33333333333,1266.66666666667,1966.66666666667,866.666666666667,7133.33333333334,1783.33333333333,2.3563,1.2329,m,NA
F1A_38,F1A,2166.66666666667,1700,1633.33333333333,1100,6600,1650,2.2494,0.7654,m,NA
F1A_39,F1A,2800,1633.33333333333,1500,566.666666666667,6500,1625,1.9585,0.4862,f,NA
F1A_40,F1A,4100,2733.33333333333,1266.66666666667,1266.66666666667,9366.66666666667,2341.66666666667,2.134,0.8265,m,A
F1A_41,F1A,4733.33333333333,1966.66666666667,1033.33333333333,1200,8933.33333333333,2233.33333333333,2.0213,0.7879,f,NA
F1A_42,F1A,2233.33333333333,1233.33333333333,966.666666666667,733.333333333333,5166.66666666666,1291.66666666667,2.0988,0.3852,m,NA
F1A_43,F1A,1200,1933.33333333333,1733.33333333333,1133.33333333333,5999.99999999999,1500,1.8116,0.3998,m,NA
F1A_44,F1A,3266.66666666667,1466.66666666667,800,666.666666666667,6200.00000000001,1550,NA,NA,f,NA
F1A_45,F1A,2866.66666666667,3666.66666666667,1866.66666666667,1866.66666666667,10266.6666666667,2566.66666666667,2.1308,0.6675,m,NA
F1A_46,F1A,2133.33333333333,1833.33333333333,1266.66666666667,1066.66666666667,6300,1575,2.1621,0.8271,f,NA
F1A_47,F1A,2566.66666666667,2133.33333333333,1566.66666666667,933.333333333333,7200,1800,1.9043,0.6137,f,NA
F1A_48,F1A,2600,1533.33333333333,1400,1333.33333333333,6866.66666666666,1716.66666666667,1.8043,0.2378,f,NA
F1A_49,F1A,4100,3633.33333333333,1966.66666666667,1866.66666666667,11566.6666666667,2891.66666666667,2.6597,1.4464,f,NA
