id	read_depth	ratio	sex
SmBRE4_m	41.61/38.97	1.06774441878368	male	
SmLE19_f	32.22/56.47	0.570568443421286	female	
SmLE15_m	54.29/50.84	1.06785995279308	male	
SmBRE2_f	22.63/39.18	0.577590607452782	female	
F2B_76	20.14/32	0.629375	female	
F2A_260	20.53/32.16	0.638370646766169	female	
F2A_75	20.95/32.49	0.64481378885811	female	
F2A_108	33.16/31.4	1.05605095541401	male	
F2B_359	29.11/45.46	0.640343158820942	female	
F2B_37	17.81/27.54	0.646695715323166	female	
F2B_353	14/21.49	0.651465798045603	female	
F2A_37	17.27/26.49	0.651944129860325	female	
F2A_1	30.57/28.75	1.06330434782609	male	
F2B_30	26.21/25.14	1.04256165473349	male	
F2A_211	43.61/41.2	1.05849514563107	male	
F2B_361	12.49/12.06	1.03565505804312	male	
F2A_63	26.89/25.32	1.06200631911532	male	
F2B_28	27.14/26.01	1.04344482891196	male	
F2B_42	23.86/22.6	1.05575221238938	male	
F2B_320	25.33/24.16	1.04842715231788	male	
F2A_112	22.7/21.93	1.03511171910625	male	
F2A_214	23.12/36.29	0.637090107467622	female	
F2B_392	23.02/35.63	0.646084760033679	female	
F2B_390	41.39/39.31	1.05291274484864	male	
F2B_348	23.19/22.23	1.04318488529015	male	
F2A_173	16.46/25.43	0.64726700747149	female	
F2A_60	26.34/25.09	1.04982064567557	male	
F2A_98	20.95/32.95	0.635811836115326	female	
F2B_363	13.22/13.05	1.01302681992337	male	
F2A_218	23.13/36.42	0.635090609555189	female	
F2A_180	16.13/24.87	0.648572577402493	female	
F2A_227	19.42/30.07	0.645826405054872	female	
F2A_78	18.59/28.8	0.645486111111111	female	
F2A_270	19.65/30.55	0.643207855973813	female	
F2B_41	35.5/33.75	1.05185185185185	male	
F2A_239	32.08/29.83	1.07542742205833	male	
F2B_375	15.1/14.63	1.03212576896787	male	
F2A_246	23.47/22.83	1.02803328953132	male	
F2B_35	23.96/23.05	1.03947939262473	male	
F2A_251	20.17/30.92	0.652328589909444	female	
F2A_23	26.58/41.42	0.641718976339932	female	
F2B_398	26.04/41.47	0.627923800337593	female	
F2B_58	20.96/33.64	0.623067776456599	female	
F2A_97	36.15/34.67	1.0426882030574	male	
F2B_305	28.05/26.77	1.04781471796787	male	
F2A_264	24.5/23.24	1.05421686746988	male	
F2B_322	12.91/19.63	0.657666836474784	female	
F2A_107	31.35/30.23	1.03704928878597	male	
F2A_176	11.11/15.58	0.713093709884467	female	
F2B_357	20.05/19.23	1.04264170566823	male	
F2B_387	32.93/31.26	1.05342290467051	male	
F2B_2	22.22/34.4	0.64593023255814	female	
F2A_109	23.23/21.97	1.05735093309058	male	
F2A_119	22.74/35.87	0.633955952049066	female	
F2B_79	12.93/19.21	0.6730869338886	female	
F2A_206	19.52/29.75	0.656134453781513	female	
F2B_89	14.8/22.7	0.651982378854626	female	
F2B_104	30.97/29.56	1.04769959404601	male	
F2B_90	32.92/31.8	1.03522012578616	male	
F2B_36	26.75/42.2	0.633886255924171	female	
F2B_65	30.81/29.46	1.04582484725051	male	
F2A_12	44.28/41.68	1.06238003838772	male	
F2B_349	16.42/25.34	0.647987371744278	female	
F2B_334	29.14/27.39	1.06389193136181	male	
F2B_321	10.47/13.53	0.773835920177384	female	
F2B_70	27.27/43.45	0.627617951668585	female	
F2A_84	37.38/35.54	1.05177265053461	male	
F2A_296	21.57/33.19	0.649894546550166	female	
F2A_298	42.67/40.44	1.0551434223541	male	
F2B_102	20.57/32.54	0.632145052243393	female	
F2B_23	18.64/29.4	0.634013605442177	female	
