id,cross,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,PO,Hb
F2A_1,F2A,1100,966.6666666667,800,400,3266.6666666667,816.6666666667,1.9115,0.3717
F2A_2,F2A,400,2266.6666666667,300,600,3566.6666666667,891.6666666667,2.0736,0.4867
F2A_3,F2A,2566.6666666667,1766.6666666667,2433.3333333333,700,7466.6666666667,1866.6666666667,NA,NA
F2A_4,F2A,1533.3333333333,3733.3333333333,1900,966.6666666667,8133.3333333333,2033.3333333333,NA,NA
F2A_5,F2A,2000,2133.3333333333,1433.3333333333,600,6166.6666666667,1541.6666666667,2.1958,0.7552
F2A_6,F2A,233.3333333333,600,533.3333333333,233.3333333333,1600,400,2.8137,1.3604
F2A_7,F2A,2200,1166.6666666667,566.6666666667,500,4433.3333333333,1108.3333333333,NA,NA
F2A_8,F2A,4500,2533.3333333333,2100,333.3333333333,9466.6666666667,2366.6666666667,NA,NA
F2A_9,F2A,2033.3333333333,1033.3333333333,1066.6666666667,533.3333333333,4666.6666666667,1166.6666666667,NA,NA
F2A_10,F2A,1666.6666666667,700,433.3333333333,NA,2800,933.3333333333,NA,NA
F2A_11,F2A,2433.3333333333,900,1433.3333333333,NA,4766.6666666667,1588.8888888889,NA,NA
F2A_12,F2A,1466.6666666667,2666.6666666667,1066.6666666667,233.3333333333,5433.3333333334,1358.3333333333,NA,NA
F2A_13,F2A,8,100,666.6666666667,166.6666666667,941.3333333333,235.3333333333,3.2259,2.1901
F2A_14,F2A,2733.3333333333,5133.3333333333,800,966.6666666667,9633.3333333333,2408.3333333333,NA,NA
F2A_15,F2A,2533.3333333333,2833.3333333333,1600,300,7266.6666666667,1816.6666666667,NA,NA
F2A_16,F2A,1766.6666666667,2666.6666666667,600,1400,6433.3333333333,1608.3333333333,NA,NA
F2A_17,F2A,2166.6666666667,2200,466.6666666667,1400,6233.3333333333,1558.3333333333,1.8982,0.6445
F2A_18,F2A,2000,NA,NA,NA,2000,2000,NA,NA
F2A_19,F2A,1400,1000,200,533.3333333333,3133.3333333333,783.3333333333,2.1974,0.4199
F2A_20,F2A,2066.6666666667,3100,2433.3333333333,500,8100,2025,NA,NA
F2A_21,F2A,33.3333333333,1,0,0,34.3333333333,8.5833333333,3.1333,1.8153
F2A_22,F2A,966.6666666667,1000,766.6666666667,266.6666666667,3000,750,2.5541,0.7661
F2A_23,F2A,100,2633.3333333333,1933.3333333333,3166.6666666667,7833.3333333333,1958.3333333333,NA,NA
F2A_24,F2A,773.3333333333,1933.3333333333,1000,400,4106.6666666667,1026.6666666667,NA,NA
F2A_25,F2A,1266.6666666667,2500,2066.6666666667,666.6666666667,6500,1625,2.0102,0.3717
F2A_26,F2A,666.6666666667,2400,1566.6666666667,1166.6666666667,5800,1450,NA,NA
F2A_28,F2A,533.3333333333,2333.3333333333,2166.6666666667,2600,7633.3333333333,1908.3333333333,NA,NA
F2A_29,F2A,1466.6666666667,2133.3333333333,1133.3333333333,533.3333333333,5266.6666666667,1316.6666666667,NA,NA
F2A_30,F2A,900,3166.6666666667,3233.3333333333,1933.3333333333,9233.3333333333,2308.3333333333,2.2886,0.715
F2A_31,F2A,933.3333333333,866.6666666667,700,266.6666666667,2766.6666666667,691.6666666667,1.8251,0.4444
F2A_32,F2A,666.6666666667,2066.6666666667,1533.3333333333,966.6666666667,5233.3333333333,1308.3333333333,NA,NA
F2A_35,F2A,2066.6666666667,2133.3333333333,533.3333333333,266.6666666667,5000,1250,NA,NA
F2A_37,F2A,533.3333333333,1033.3333333333,966.6666666667,266.6666666667,2800,700,2.5464,0.7855
F2A_46,F2A,1133.3333333333,1033.3333333333,700,100,2966.6666666667,741.6666666667,NA,NA
F2A_47,F2A,15,133.3333333333,166.6666666667,133.3333333333,448.3333333333,112.0833333333,3.2158,1.9066
F2A_48,F2A,700,2266.6666666667,533.3333333333,NA,3500,1166.6666666667,NA,NA
F2A_49,F2A,1466.6666666667,2533.3333333333,866.6666666667,933.3333333333,5800,1450,NA,NA
F2A_50,F2A,700,2900,1733.3333333333,1333.3333333333,6666.6666666667,1666.6666666667,1.9548,0.7336
F2A_52,F2A,600,1800,966.6666666667,2266.6666666667,5633.3333333333,1408.3333333333,NA,NA
F2A_53,F2A,166.6666666667,2200,633.3333333333,366.6666666667,3366.6666666667,841.6666666667,2.3051,0.5001
F2A_54,F2A,533.3333333333,3600,833.3333333333,1600,6566.6666666667,1641.6666666667,NA,NA
F2A_55,F2A,66.6666666667,1900,1200,2566.6666666667,5733.3333333333,1433.3333333333,2.2933,0.7189
F2A_56,F2A,10,1033.3333333333,900,400,2343.3333333333,585.8333333333,NA,NA
F2A_58,F2A,800,1866.6666666667,1700,366.6666666667,4733.3333333333,1183.3333333333,NA,NA
F2A_59,F2A,1333.3333333333,700,833.3333333333,566.6666666667,3433.3333333333,858.3333333333,2.5194,0.7495
F2A_60,F2A,233.3333333333,733.3333333333,1400,433.3333333333,2800,700,2.503,0.6685
F2A_61,F2A,33.3333333333,NA,NA,NA,33.3333333333,33.3333333333,NA,NA
F2A_62,F2A,1133.3333333333,2000,2033.3333333333,1166.6666666667,6333.3333333333,1583.3333333333,NA,NA
F2A_63,F2A,866.6666666667,2833.3333333333,2600,1066.6666666667,7366.6666666667,1841.6666666667,NA,NA
F2A_64,F2A,2133.3333333333,1566.6666666667,766.6666666667,1066.6666666667,5533.3333333333,1383.3333333333,NA,NA
F2A_65,F2A,200,1166.6666666667,1833.3333333333,1566.6666666667,4766.6666666667,1191.6666666667,NA,NA
F2A_67,F2A,1166.6666666667,1700,1633.3333333333,766.6666666667,5266.6666666667,1316.6666666667,NA,NA
F2A_68,F2A,900,2433.3333333333,2233.3333333333,2000,7566.6666666667,1891.6666666667,NA,NA
F2A_70,F2A,1566.6666666667,2066.6666666667,1800,1400,6833.3333333333,1708.3333333333,2.1481,0.7425
F2A_71,F2A,266.6666666667,1900,1200,833.3333333333,4200,1050,2.8604,1.0744
F2A_73,F2A,3300,4833.3333333333,5433.3333333333,4000,17566.6666666667,4391.6666666667,1.692,0.5021
F2A_75,F2A,1500,1400,1266.6666666667,1266.6666666667,5433.3333333333,1358.3333333333,NA,NA
F2A_76,F2A,400,1066.6666666667,1133.3333333333,466.6666666667,3066.6666666667,766.6666666667,1.785,0.2267
F2A_77,F2A,2566.6666666667,2833.3333333333,2733.3333333333,1466.6666666667,9600,2400,NA,NA
F2A_78,F2A,1200,1333.3333333333,1600,NA,4133.3333333333,1377.7777777778,NA,NA
F2A_80,F2A,566.6666666667,1400,2266.6666666667,566.6666666667,4800,1200,NA,NA
F2A_81,F2A,2400,2433.3333333333,966.6666666667,433.3333333333,6233.3333333333,1558.3333333333,2.4258,1.0621
F2A_82,F2A,2833.3333333333,933.3333333333,1433.3333333333,300,5500,1375,NA,NA
F2A_84,F2A,4000,3500,2533.3333333333,700,10733.3333333333,2683.3333333333,1.3755,0.3862
F2A_86,F2A,3233.3333333333,3266.6666666667,1433.3333333333,466.6666666667,8400,2100,NA,NA
F2A_87,F2A,1866.6666666667,1000,2933.3333333333,966.6666666667,6766.6666666667,1691.6666666667,2.5551,1.0439
F2A_88,F2A,1733.3333333333,1433.3333333333,NA,NA,3166.6666666667,1583.3333333333,NA,NA
F2A_90,F2A,1333.3333333333,1600,2033.3333333333,866.6666666667,5833.3333333333,1458.3333333333,NA,NA
F2A_91,F2A,2700,4300,2666.6666666667,1433.3333333333,11100,2775,1.6004,0.5617
F2A_92,F2A,1366.6666666667,3333.3333333333,1366.6666666667,866.6666666667,6933.3333333333,1733.3333333333,1.9955,0.8589
F2A_93,F2A,1833.3333333333,4400,3500,3133.3333333333,12866.6666666667,3216.6666666667,1.7582,0.5744
F2A_94,F2A,1166.6666666667,3166.6666666667,2100,300,6733.3333333333,1683.3333333333,1.6001,0.3155
F2A_95,F2A,1,1,66.6666666667,33.3333333333,102,25.5,2.9681,2.4349
F2A_96,F2A,1,1,2066.6666666667,0,2068.6666666667,517.1666666667,NA,NA
F2A_97,F2A,5700,2033.3333333333,4,666.6666666667,8404,2101,2.3547,0.7505
F2A_98,F2A,2600,2666.6666666667,2866.6666666667,2366.6666666667,10500,2625,NA,NA
F2A_99,F2A,3466.6666666667,3833.3333333333,3866.6666666667,2433.3333333333,13600,3400,1.7229,0.5547
F2A_100,F2A,1400,2866.6666666667,2633.3333333333,300,7200,1800,NA,NA
F2A_101,F2A,2600,2600,1633.3333333333,866.6666666667,7700,1925,NA,NA
F2A_102,F2A,3000,5300,3033.3333333333,2800,14133.3333333333,3533.3333333333,2.0143,0.4355
F2A_103,F2A,1966.6666666667,4500,1466.6666666667,1066.6666666667,9000,2250,NA,NA
F2A_104,F2A,4466.6666666667,3033.3333333333,2933.3333333333,700,11133.3333333333,2783.3333333333,2.5813,0.6484
F2A_105,F2A,3366.6666666667,4033.3333333333,3800,2233.3333333333,13433.3333333333,3358.3333333333,2.037,0.4587
F2A_106,F2A,4633.3333333333,2300,1266.6666666667,266.6666666667,8466.6666666667,2116.6666666667,2.3345,1.3895
F2A_107,F2A,4700,5400,2666.6666666667,2033.3333333333,14800,3700,1.5799,0.5921
F2A_108,F2A,566.6666666667,1633.3333333333,833.3333333333,800,3833.3333333333,958.3333333333,NA,NA
F2A_109,F2A,2333.3333333333,3333.3333333333,733.3333333333,NA,6400,2133.3333333333,NA,NA
F2A_111,F2A,633.3333333333,1100,2100,266.6666666667,4100,1025,NA,NA
F2A_112,F2A,2066.6666666667,4033.3333333333,3833.3333333333,1166.6666666667,11100,2775,1.8263,0.6088
F2A_113,F2A,1466.6666666667,1933.3333333333,900,166.6666666667,4466.6666666667,1116.6666666667,NA,NA
F2A_114,F2A,700,1000,1666.6666666667,700,4066.6666666667,1016.6666666667,NA,NA
F2A_115,F2A,2233.3333333333,2700,2166.6666666667,666.6666666667,7766.6666666667,1941.6666666667,NA,NA
F2A_116,F2A,1933.3333333333,3066.6666666667,2200,333.3333333333,7533.3333333333,1883.3333333333,NA,NA
F2A_117,F2A,2433.3333333333,3166.6666666667,1366.6666666667,400,7366.6666666667,1841.6666666667,NA,NA
F2A_118,F2A,1733.3333333333,1566.6666666667,1666.6666666667,600,5566.6666666667,1391.6666666667,1.9512,0.9442
F2A_119,F2A,2566.6666666667,3733.3333333333,2000,2200,10500,2625,NA,NA
F2A_120,F2A,866.6666666667,766.6666666667,NA,NA,1633.3333333333,816.6666666667,NA,NA
F2A_173,F2A,2200,1866.6666666667,833.3333333333,666.6666666667,5566.6666666667,1391.6666666667,NA,NA
F2A_174,F2A,1233.3333333333,833.3333333333,NA,NA,2066.6666666667,1033.3333333333,NA,NA
F2A_176,F2A,200,4566.6666666667,2433.3333333333,2366.6666666667,9566.6666666667,2391.6666666667,NA,NA
F2A_179,F2A,266.6666666667,1466.6666666667,733.3333333333,733.3333333333,3200,800,2.4033,0.8
F2A_180,F2A,166.6666666667,1566.6666666667,1300,1133.3333333333,4166.6666666667,1041.6666666667,2.8232,1.3811
F2A_200,F2A,3533.3333333333,4266.6666666667,1100,1900,10800,2700,NA,NA
F2A_201,F2A,5366.6666666667,4300,2100,2000,13766.6666666667,3441.6666666667,1.6362,0.41
F2A_202,F2A,733.3333333333,2666.6666666667,1533.3333333333,866.6666666667,5800,1450,NA,NA
F2A_203,F2A,2066.6666666667,3166.6666666667,1566.6666666667,166.6666666667,6966.6666666667,1741.6666666667,NA,NA
